execution;accuracy;precision;recall
0;0.7776639344262295;0.7277557470004035;0.6799478239409261
1;0.769808743169399;0.7106270797919151;0.6599775912462295
2;0.7684426229508197;0.7255152618253699;0.6671648351648352
3;0.7646857923497268;0.7061848923235062;0.663114188938219
4;0.7636612021857924;0.7141623080909326;0.6658505657990693
5;0.7711748633879781;0.7260019159370877;0.6723548189684477
6;0.7578551912568307;0.706311975350002;0.6608943688994412
7;0.7640027322404371;0.7080029891128032;0.6608347193245252
8;0.774931693989071;0.7259081019646046;0.6733914991341013
9;0.7728825136612022;0.7256845051948367;0.6774827937108229
10;0.7616120218579235;0.7065272884156086;0.6621807312963499
11;0.7681010928961749;0.7157336854198655;0.6547386273914849
12;0.7704918032786885;0.7247433594342771;0.6700156954327855
13;0.766051912568306;0.7197842020408721;0.6626234378961297
14;0.7721994535519126;0.7238283328063986;0.6728353028353028
15;0.7663934426229508;0.7046404167433437;0.6727163605596403
16;0.7646857923497268;0.7181364648092717;0.6683260404554612
17;0.7585382513661202;0.7128448435485127;0.6603391611508055
18;0.7841530054644809;0.7359075917167205;0.6922432323273146
19;0.7694672131147541;0.7187765548223531;0.6757845012848652
20;0.7715163934426229;0.7081696325595153;0.6625937109710044
21;0.7670765027322405;0.7169942576589768;0.6686204911264317
22;0.7776639344262295;0.7357829598063974;0.6777382383007806
23;0.7762978142076503;0.7343868698898798;0.6834792303813148
24;0.7708333333333334;0.7212189104667045;0.671161858519131
25;0.7609289617486339;0.7115974347360142;0.6610949225684483
26;0.7762978142076503;0.7284544421400092;0.6842110713172618
27;0.769808743169399;0.7135832467809441;0.6799146716498994
28;0.7715163934426229;0.7279797689372157;0.6699280680159986
29;0.773224043715847;0.716017461480841;0.6650995980377408
