execution;accuracy;precision;recall
0;0.7568306010928961;0.7518084500726542;0.595194172555736
1;0.76775956284153;0.7584133813621506;0.6045571971504291
2;0.7544398907103825;0.761617824651069;0.5964244746481588
3;0.7585382513661202;0.7411150424384233;0.6029004007206693
4;0.7595628415300546;0.7559159116288677;0.6046630343351204
5;0.7551229508196722;0.7511559152174518;0.5962473255520989
6;0.7435109289617486;0.7269727870833251;0.589613407935838
7;0.7564890710382514;0.7524624873423548;0.5943268787579966
8;0.7657103825136612;0.7614947460071412;0.6082592927239415
9;0.7616120218579235;0.769837046428175;0.6109531817799582
10;0.7510245901639344;0.7407413274781377;0.5912521502087426
11;0.7578551912568307;0.7451257239090615;0.5949155829359128
12;0.7561475409836066;0.7541212507577182;0.6018835550331417
13;0.7469262295081968;0.7455572444750622;0.5902585831978119
14;0.762636612021858;0.7673083800968413;0.6078783978783978
15;0.7530737704918032;0.7354823443813793;0.597456705374842
16;0.7622950819672131;0.7685689188677594;0.6080503860292327
17;0.7496584699453552;0.7490385150291284;0.6011425869836845
18;0.7599043715846995;0.7537253516391035;0.6035158983438026
19;0.7619535519125683;0.7504451566951568;0.6115734076226637
20;0.7558060109289617;0.73720613333873;0.5847438627528945
21;0.764344262295082;0.7483181261412887;0.6176886266812947
22;0.7561475409836066;0.7491478679138274;0.6011430489587403
23;0.7558060109289617;0.7562538770393755;0.6001679149623749
24;0.7592213114754098;0.7532411764811108;0.5976882805957535
25;0.75;0.7449409542432798;0.5938909299324645
26;0.7575136612021858;0.7648963982756222;0.6023147392035261
27;0.7622950819672131;0.7452310577837237;0.6167738634836651
28;0.7599043715846995;0.7662828671798544;0.6050695718663409
29;0.7636612021857924;0.7442622733932199;0.5984557618761152
