execution;accuracy;precision;recall
0;0.6854508196721312;0.765999537585219;0.4234113923709632
1;0.6915983606557377;0.772942705729427;0.4281510475350097
2;0.66974043715847;0.8001385295332377;0.4200403894351263
3;0.6786202185792349;0.766196729501739;0.42222228404805023
4;0.6734972677595629;0.7728591178165013;0.42310532146706237
5;0.6728142076502732;0.7542620750133514;0.4212097139321365
6;0.6601775956284153;0.7618640566216065;0.4108159960185928
7;0.6813524590163934;0.7836371055495103;0.4220071537431241
8;0.6765710382513661;0.7741374238448021;0.4095590818964436
9;0.6779371584699454;0.8029592933870595;0.432398287729359
10;0.6693989071038251;0.7457802705734217;0.41742444594696115
11;0.66974043715847;0.7151790659396379;0.40422674496399663
12;0.6741803278688525;0.7820676228360132;0.42479059782391787
13;0.6666666666666666;0.7466046187024844;0.4233999707314861
14;0.6823770491803278;0.793739297398219;0.42947505947505943
15;0.6772540983606558;0.7697013872667752;0.4168230868181136
16;0.6810109289617486;0.7840587167580585;0.43066324384403637
17;0.6653005464480874;0.7749715581978908;0.42338473802644794
18;0.6755464480874317;0.7681616602227289;0.42100096410079896
19;0.6734972677595629;0.7665186789740388;0.41915370646910355
20;0.6813524590163934;0.7392513516722378;0.4099375066316621
21;0.6810109289617486;0.7685034186687991;0.43225186555633677
22;0.6690573770491803;0.7686641359363703;0.4121546278907489
23;0.6673497267759563;0.7862488340255126;0.41832513359233897
24;0.6786202185792349;0.7834470917341291;0.41924461394961243
25;0.6724726775956285;0.7778514859907449;0.425736207620323
26;0.6734972677595629;0.7795555555555556;0.42542832183694673
27;0.6837431693989071;0.7887441190360899;0.4296133499337988
28;0.6711065573770492;0.7950593416689463;0.4199685886682265
29;0.6953551912568307;0.7730776366948869;0.4301767873175535
